source,network_type,simplify,retain_all,building_mode,open_ground,B,NB,total,Ed,Eu,og_nodes,og_edges,b_edges,n_comp,lc_ratio,score
snap=current query=point:d=2500 net=walk,walk,True,False,tag,off,4238,8822,13060,35994,18067,0,0,0,1,1.0,11.3868
snap=current query=point:d=2500 net=walk,walk,True,False,tag,add,4238,9770,14008,37890,19015,948,1896,0,1,1.0,11.6874
snap=current query=point:d=2500 net=walk,walk,True,True,tag,off,4361,9242,13603,36908,18527,0,0,0,134,0.9601,11.8242
snap=current query=point:d=2500 net=walk,walk,True,True,tag,add,4361,10214,14575,38852,19499,972,1944,0,134,0.9608,12.1324
snap=current query=point:d=1500 net=walk,walk,False,False,add,off,4370,18303,22673,50086,25043,0,0,8740,1,1.0,14.3605
snap=current query=point:d=1500 net=walk,walk,False,False,add,add,4370,19013,23383,51506,25753,710,1420,8740,1,1.0,14.5857
snap=current query=point:d=1500 net=walk,walk,False,True,add,off,4370,19263,23633,51930,25965,0,0,8740,88,0.9466,14.6596
snap=current query=point:d=1500 net=walk,walk,False,True,add,add,4370,19981,24351,53366,26683,718,1436,8740,88,0.9475,14.8873
snap=current query=point:d=2000 net=walk,walk,False,False,tag,off,4660,23390,28050,63170,31585,0,0,0,1,1.0,16.8825
snap=current query=point:d=2000 net=walk,walk,False,False,tag,add,4660,24287,28947,64964,32482,897,1794,0,1,1.0,17.167
snap=current query=point:d=2000 net=walk,walk,False,True,tag,off,4820,24399,29219,65412,32706,0,0,0,110,0.96,17.6066
snap=current query=point:d=2000 net=walk,walk,False,True,tag,add,4820,25305,30125,67224,33612,906,1812,0,110,0.9605,17.8939
snap=current query=point:d=2000 net=walk,walk,True,False,add,off,7069,8515,15584,38238,19162,0,0,14138,1,1.0,18.3585
snap=current query=point:d=2000 net=walk,walk,True,True,add,off,7069,9011,16080,39134,19610,0,0,14138,106,0.947,18.509
snap=current query=point:d=2000 net=walk,walk,True,False,add,add,7069,9335,16404,39878,19982,820,1640,14138,1,1.0,18.6185
snap=current query=point:d=2000 net=walk,walk,True,True,add,add,7069,9838,16907,40788,20437,827,1654,14138,106,0.9484,18.7712
snap=current query=point:d=2000 net=walk,walk,False,False,add,off,7069,28050,35119,77308,38654,0,0,14138,1,1.0,24.5468
snap=current query=point:d=2000 net=walk,walk,False,False,add,add,7069,28982,36051,79172,39586,932,1864,14138,1,1.0,24.8424
snap=current query=point:d=2000 net=walk,walk,False,True,add,off,7069,29219,36288,79550,39775,0,0,14138,110,0.9578,24.9107
snap=current query=point:d=2000 net=walk,walk,False,True,add,add,7069,30159,37228,81430,40715,940,1880,14138,110,0.9583,25.2088
snap=current query=point:d=2500 net=walk,walk,False,False,tag,off,6777,34677,41454,92782,46391,0,0,0,1,1.0,26.0959
snap=current query=point:d=2500 net=walk,walk,False,False,tag,add,6777,35825,42602,95078,47539,1148,2296,0,1,1.0,26.4599
snap=current query=point:d=2500 net=walk,walk,False,True,tag,off,6907,35829,42736,95174,47587,0,0,0,138,0.97,26.7829
snap=current query=point:d=2500 net=walk,walk,False,True,tag,add,6907,36997,43904,97510,48755,1168,2336,0,138,0.97,27.1533
snap=current query=point:d=2500 net=walk,walk,True,False,add,off,9886,13060,22946,55766,27953,0,0,19772,1,1.0,27.2355
snap=current query=point:d=2500 net=walk,walk,True,True,add,off,9886,13603,23489,56680,28413,0,0,19772,134,0.9646,27.396
snap=current query=point:d=2500 net=walk,walk,True,False,add,add,9886,14105,23991,57856,28998,1045,2090,19772,1,1.0,27.5668
snap=current query=point:d=2500 net=walk,walk,True,True,add,add,9886,14665,24551,58804,29475,1062,2124,19772,134,0.9648,27.7327
snap=current query=point:d=2500 net=walk,walk,False,False,add,off,9886,41454,51340,112554,56277,0,0,19772,1,1.0,36.2292
snap=current query=point:d=2500 net=walk,walk,False,False,add,add,9886,42642,52528,114930,57465,1188,2376,19772,1,1.0,36.6059
snap=current query=point:d=2500 net=walk,walk,False,True,add,off,9886,42736,52622,114946,57473,0,0,19772,138,0.9704,36.6236
snap=current query=point:d=2500 net=walk,walk,False,True,add,add,9886,43943,53829,117360,58680,1207,2414,19772,138,0.9705,37.0063
