source,network_type,simplify,retain_all,building_mode,open_ground,B,NB,total,Ed,Eu,og_nodes,og_edges,b_edges,n_comp,lc_ratio,score
snap=current query=point:d=2000 net=walk,walk,False,True,add,off,2021,16726,18747,40492,20246,0,0,4042,46,0.9731,12.939
snap=current query=point:d=2000 net=walk,walk,False,True,add,add,2021,16907,18928,40854,20427,181,362,4042,46,0.9726,13.0303
snap=current query=place net=walk,walk,True,False,tag,off,3359,6787,10146,24776,12440,0,0,0,1,1.0,13.4337
snap=current query=place net=walk,walk,True,False,tag,add,3359,6979,10338,25160,12632,192,384,0,1,1.0,13.5082
snap=current query=place net=walk,walk,True,True,tag,off,3391,6929,10320,25084,12597,0,0,0,41,0.9831,13.6035
snap=current query=place net=walk,walk,True,True,tag,add,3391,7127,10518,25480,12795,198,396,0,41,0.9828,13.6804
snap=current query=place net=walk,walk,True,False,add,off,4360,10146,14506,33496,16800,0,0,8720,1,1.0,18.2937
snap=current query=place net=walk,walk,True,True,add,off,4360,10320,14680,33804,16957,0,0,8720,41,0.983,18.3623
snap=current query=place net=walk,walk,True,False,add,add,4360,10345,14705,33894,16999,199,398,8720,1,1.0,18.371
snap=current query=place net=walk,walk,True,True,add,add,4360,10525,14885,34214,17162,205,410,8720,41,0.9827,18.4419
snap=current query=place net=walk,walk,False,False,tag,off,3669,22582,26251,56986,28493,0,0,0,1,1.0,21.9818
snap=current query=place net=walk,walk,False,False,tag,add,3669,22798,26467,57418,28709,216,432,0,1,1.0,22.0907
snap=current query=place net=walk,walk,False,True,tag,off,3688,23154,26842,58128,29064,0,0,0,42,0.978,22.3389
snap=current query=place net=walk,walk,False,True,tag,add,3688,23374,27062,58568,29284,220,440,0,42,0.9778,22.4499
snap=current query=place net=walk,walk,False,False,add,off,4360,26251,30611,65706,32853,0,0,8720,1,1.0,26.3676
snap=current query=place net=walk,walk,False,False,add,add,4360,26467,30827,66138,33069,216,432,8720,1,1.0,26.4765
snap=current query=place net=walk,walk,False,True,add,off,4360,26842,31202,66848,33424,0,0,8720,42,0.9787,26.6646
snap=current query=place net=walk,walk,False,True,add,add,4360,27064,31424,67292,33646,222,444,8720,42,0.9785,26.7766
